# _tick,_time,frames,mean_episode_return_0,loss_0,mean_episode_return_1,loss_1,mean_episode_return_2,loss_2,mean_episode_return_3,loss_3
0,1766571493.1987119,0,0,0,0,0,1.0814814567565918,2.504999876022339,0,0
1,1766571493.1987119,3200,0,0,0,0,1.0814814567565918,2.504999876022339,0.9191176295280457,1.897499918937683
2,1766571493.490928,6400,1.0962963104248047,2.4921875,0,0,1.0814814567565918,2.504999876022339,0.9191176295280457,1.897499918937683
3,1766571493.8699079,9600,1.0962963104248047,2.4921875,0.9111111164093018,1.9362499713897705,1.0814814567565918,2.504999876022339,0.9191176295280457,1.897499918937683
4,1766571499.941396,12800,0.9481481313705444,1.3771798610687256,0.9111111164093018,1.9362499713897705,1.0814814567565918,2.504999876022339,0.9191176295280457,1.897499918937683
5,1766571500.4119992,16000,0.9481481313705444,1.3771798610687256,0.9612698554992676,2.3821945190429688,1.0814814567565918,2.504999876022339,0.9191176295280457,1.897499918937683
6,1766571501.1548777,19200,0.9481481313705444,1.3771798610687256,0.9612698554992676,2.3821945190429688,1.0814814567565918,2.504999876022339,0.991304874420166,2.5130269527435303
7,1766571501.9035106,22400,0.9481481313705444,1.3771798610687256,0.9612698554992676,2.3821945190429688,0.914478063583374,1.2580811977386475,0.991304874420166,2.5130269527435303
8,1766571507.9055562,25600,0.8209876418113708,0.7965428233146667,0.9612698554992676,2.3821945190429688,0.914478063583374,1.2580811977386475,0.991304874420166,2.5130269527435303
9,1766571508.5773776,28800,0.8209876418113708,0.7965428233146667,1.005429983139038,2.4108433723449707,0.914478063583374,1.2580811977386475,0.991304874420166,2.5130269527435303
10,1766571509.8557703,32000,0.8209876418113708,0.7965428233146667,1.005429983139038,2.4108433723449707,0.914478063583374,1.2580811977386475,1.0252913236618042,2.462054491043091
11,1766571510.6047,35200,0.8209876418113708,0.7965428233146667,1.005429983139038,2.4108433723449707,0.8055446147918701,0.7649738788604736,1.0252913236618042,2.462054491043091
12,1766571517.4846354,38400,0.7400423884391785,0.6554914712905884,1.005429983139038,2.4108433723449707,0.8055446147918701,0.7649738788604736,1.0252913236618042,2.462054491043091
