# _tick,_time,frames,mean_episode_return_0,mean_episode_length_0,loss_0,mean_episode_return_1,mean_episode_length_1,loss_1,mean_episode_return_2,mean_episode_length_2,loss_2,mean_episode_return_3,mean_episode_length_3,loss_3
0,1766564830.341392,0,0,0,0,-0.13924050331115723,37.49367141723633,1.0,0,0,0,0,0,0
1,1766564830.3433943,3200,0.125,36.36249923706055,1.0,-0.13924050331115723,37.49367141723633,1.0,0,0,0,0,0,0
2,1766564830.4444895,6400,0.125,36.36249923706055,1.0,-0.13924050331115723,37.49367141723633,1.0,0.125,36.712501525878906,1.0,0,0,0
3,1766564831.8539472,9600,0.125,36.36249923706055,1.0,-0.13924050331115723,37.49367141723633,1.0,0.125,36.712501525878906,1.0,-0.1463414579629898,34.92682647705078,1.0
4,1766564838.502261,12800,0.125,36.36249923706055,1.0,-0.08813877403736115,38.185184478759766,0.9999693632125854,0.125,36.712501525878906,1.0,-0.1463414579629898,34.92682647705078,1.0
5,1766564839.090996,16000,0.06838235259056091,37.58823776245117,0.9999921321868896,-0.08813877403736115,38.185184478759766,0.9999693632125854,0.125,36.712501525878906,1.0,-0.1463414579629898,34.92682647705078,1.0
6,1766564839.1734421,19200,0.06838235259056091,37.58823776245117,0.9999921321868896,-0.08813877403736115,38.185184478759766,0.9999693632125854,0.0744047611951828,36.80952453613281,1.0000460147857666,-0.1463414579629898,34.92682647705078,1.0
7,1766564840.7112324,22400,0.06838235259056091,37.58823776245117,0.9999921321868896,-0.08813877403736115,38.185184478759766,0.9999693632125854,0.0744047611951828,36.80952453613281,1.0000460147857666,-0.051894135773181915,35.37234115600586,1.0001754760742188
8,1766564848.010211,25600,0.06838235259056091,37.58823776245117,0.9999921321868896,-0.02172214351594448,36.866668701171875,1.0002323389053345,0.0744047611951828,36.80952453613281,1.0000460147857666,-0.051894135773181915,35.37234115600586,1.0001754760742188
9,1766564848.03255,28800,0.015285204164683819,36.56818389892578,1.000194787979126,-0.02172214351594448,36.866668701171875,1.0002323389053345,0.0744047611951828,36.80952453613281,1.0000460147857666,-0.051894135773181915,35.37234115600586,1.0001754760742188
10,1766564848.6903799,32000,0.015285204164683819,36.56818389892578,1.000194787979126,-0.02172214351594448,36.866668701171875,1.0002323389053345,0.02738095074892044,35.5444450378418,1.0000982284545898,-0.051894135773181915,35.37234115600586,1.0001754760742188
11,1766564850.1324458,35200,0.015285204164683819,36.56818389892578,1.000194787979126,-0.02172214351594448,36.866668701171875,1.0002323389053345,0.02738095074892044,35.5444450378418,1.0000982284545898,-0.007776164915412664,35.31034469604492,1.0000852346420288
12,1766564856.7264688,38400,0.015285204164683819,36.56818389892578,1.000194787979126,0.02639131247997284,37.89024353027344,1.0002316236495972,0.02738095074892044,35.5444450378418,1.0000982284545898,-0.007776164915412664,35.31034469604492,1.0000852346420288
13,1766564856.7590272,41600,-0.04441845417022705,37.447059631347656,1.0001366138458252,0.02639131247997284,37.89024353027344,1.0002316236495972,0.02738095074892044,35.5444450378418,1.0000982284545898,-0.007776164915412664,35.31034469604492,1.0000852346420288
14,1766564858.0735636,44800,-0.04441845417022705,37.447059631347656,1.0001366138458252,0.02639131247997284,37.89024353027344,1.0002316236495972,-0.03845304995775223,37.06741714477539,1.0002050399780273,-0.007776164915412664,35.31034469604492,1.0000852346420288
15,1766564859.5695484,48000,-0.04441845417022705,37.447059631347656,1.0001366138458252,0.02639131247997284,37.89024353027344,1.0002316236495972,-0.03845304995775223,37.06741714477539,1.0002050399780273,0.04416787251830101,35.755558013916016,0.9999067187309265
