# _tick,_time,frames,mean_episode_return_0,loss_0,mean_episode_return_1,loss_1,mean_episode_return_2,loss_2,mean_episode_return_3,loss_3
0,1766587448.7185466,0,0,0,0,0,0.9166666865348816,2.0481250286102295,0,0
1,1766587448.7185466,3200,0,0,1.1691176891326904,2.682499885559082,0.9166666865348816,2.0481250286102295,0,0
2,1766587449.083733,6400,1.1555554866790771,2.5428123474121094,1.1691176891326904,2.682499885559082,0.9166666865348816,2.0481250286102295,0,0
3,1766587449.3098612,9600,1.1555554866790771,2.5428123474121094,1.1691176891326904,2.682499885559082,0.9166666865348816,2.0481250286102295,0.9926470518112183,2.344062566757202
4,1766587456.9960608,12800,1.1555554866790771,2.5428123474121094,1.1691176891326904,2.682499885559082,0.9166666865348816,2.0481250286102295,1.0527751445770264,2.5783133506774902
5,1766587457.146987,16000,1.1555554866790771,2.5428123474121094,1.1691176891326904,2.682499885559082,0.9982270002365112,2.59710693359375,1.0527751445770264,2.5783133506774902
6,1766587457.193137,19200,1.1555554866790771,2.5428123474121094,1.1778230667114258,2.888023853302002,0.9982270002365112,2.59710693359375,1.0527751445770264,2.5783133506774902
7,1766587457.327287,22400,0.8502496480941772,1.0313085317611694,1.1778230667114258,2.888023853302002,0.9982270002365112,2.59710693359375,1.0527751445770264,2.5783133506774902
8,1766587464.8288553,25600,0.6943377256393433,0.4488755464553833,1.1778230667114258,2.888023853302002,0.9982270002365112,2.59710693359375,1.0527751445770264,2.5783133506774902
9,1766587465.4301312,28800,0.6943377256393433,0.4488755464553833,1.1778230667114258,2.888023853302002,0.9952906370162964,2.2583062648773193,1.0527751445770264,2.5783133506774902
10,1766587465.806452,32000,0.6943377256393433,0.4488755464553833,1.1778230667114258,2.888023853302002,0.9952906370162964,2.2583062648773193,1.080088496208191,2.7475271224975586
11,1766587466.31917,35200,0.6943377256393433,0.4488755464553833,1.2274596691131592,3.02412748336792,0.9952906370162964,2.2583062648773193,1.080088496208191,2.7475271224975586
12,1766587473.9702337,38400,0.6943377256393433,0.4488755464553833,1.2274596691131592,3.02412748336792,1.0239405632019043,2.5924630165100098,1.080088496208191,2.7475271224975586
13,1766587474.0720146,41600,0.5956119894981384,0.4017082750797272,1.2274596691131592,3.02412748336792,1.0239405632019043,2.5924630165100098,1.080088496208191,2.7475271224975586
14,1766587474.5509396,44800,0.5956119894981384,0.4017082750797272,1.2274596691131592,3.02412748336792,1.0239405632019043,2.5924630165100098,1.1438292264938354,3.1450042724609375
15,1766587476.1138437,48000,0.5956119894981384,0.4017082750797272,1.2754727602005005,3.361931085586548,1.0239405632019043,2.5924630165100098,1.1438292264938354,3.1450042724609375
16,1766587481.2398934,51200,0.5491212010383606,0.42217910289764404,1.2754727602005005,3.361931085586548,1.0239405632019043,2.5924630165100098,1.1438292264938354,3.1450042724609375
17,1766587482.387313,54400,0.5491212010383606,0.42217910289764404,1.2754727602005005,3.361931085586548,1.0131222009658813,2.0431299209594727,1.1438292264938354,3.1450042724609375
18,1766587483.3622055,57600,0.5491212010383606,0.42217910289764404,1.2754727602005005,3.361931085586548,1.0131222009658813,2.0431299209594727,1.1469473838806152,2.5114104747772217
19,1766587485.522738,60800,0.5491212010383606,0.42217910289764404,1.3383963108062744,3.4370949268341064,1.0131222009658813,2.0431299209594727,1.1469473838806152,2.5114104747772217
